Codigo,Nombre,Nombre_Completo,Coseguro_Consulta,Coseguro_Practica,Valor_Consulta_Raw,Valor_Base,Valor_Especialista,Incluye_IVA,Observaciones,Arancel_Compensatorio,Estado,Motivo_Sin_Atencion,Publicacion_Origen
959,AMSTERDAM SALUD,AMSTERDAM SALUD,1500,15 % valor practica,27000/27000,27000.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
18,AMUR EXENTO,ASOCIACIÓN MUTUAL RURALISTA,,,28500/28500,28500.0,28500.0,False,Afil. Exento,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
909,AMUR GRAVADO,ASOCIACIÓN MUTUAL RURALISTA,,,28500 + iva,28500.0,28500.0,True,Afil. Gravado,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
938,ANDAR - OSVVRA ITER,O.S VIAJANTES Y VENDEDORES DE LA REP. ARGENTINA,Según orden,Impreso en orden,23000/23000,23000.0,23000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
13,APM,AGENTES DE PROPAGANDAS MEDICAS,,,22540/27000,22540.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
20,AVALIAN - AFILIADOS EXENTOS,AVALIAN,,,29000/29000,29000.0,29000.0,False,ver en instructivo planes habilitados,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
891,AVALIAN - AFILIADOS GRAVADOS,AVALIAN,,,29000 + Iva,29000.0,29000.0,True,ver en instructivo planes habilitados,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
331,CAJA NOTARIAL,CAJA NOTARIAL,6500,20 % valor practica,30000/30000,30000.0,30000.0,False,coseguro tambien en cirugías,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
332,CAJA NOTARIAL MED. PREVENTIVA,CAJA NOTARIAL MEDICINA PREVENTIVA,,,30000/30000,30000.0,30000.0,False,100% a cargo O.Social,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
765,CIAS ECONOMICAS 100%,CONSEJO PROF. DE CIENCIAS ECONÓMICAS,,,30000/30000,30000.0,30000.0,False,100% a cargo O.Social,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
729,CIAS. ECONOMICAS,CONSEJO PROF. DE CIENCIAS ECONÓMICAS,6500,20 % valor practica,30000/30000,30000.0,30000.0,False,20% a cargo del afiliado,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
915,COMFYE,COMFYE SRL,,,25842/31000,25842.0,31000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
933,CONFERENCIA EPISCOPAL,CONFERENCIA EPISCOPAL ARGENTINA,,,28712/30842,28712.0,30842.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
345,DASUTEN,DIRECCIÓN DE ACCIÓN SOCIAL DE LA UTN,,,27648/27648,27648.0,27648.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
31,FARMACIA - OSPF,O.S PERSONAL DE FARMACIA,Según orden,Impreso en orden,26500/26500,26500.0,26500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
50,FEDERADA SALUD,FEDERADA SALUD,2000,,29000/29000,29000.0,29000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
902,FUTBOLISTAS,FUTBOLISTAS,,,23943/28000,23943.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
6,GERDANNA SALUD,GERDANNA SALUD,7000,,23601/28000,23601.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
900,INTEGRAL SALUD,INTEGRAL SALUD - PLANES ARRAYAN-ROBLE,3000/5000,No,24137/26322,24137.0,26322.0,False,Plan ROBLE sin coseguro,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
948,INTEGRAL SALUD CEIBO,INTEGRAL SALUD - PLAN CEIBO,3000/5000,No,24137/26322,24137.0,26322.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
326,INTEGRAL SALUD - OSSIMRA,INTEGRAL SALUD OSSIMRA -PLAN ALAMO/PLUS,3000,Impreso en orden,28000/28000,28000.0,28000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
963,JARDINEROS ENSALUD,"JARDINEROS, PARQUISTAS Y FLORICULTORES DE REP. AR",G10000/15000,BC($10000)MC($15000)AC($20000),25592/27718,25592.0,27718.0,False,Coseg. X complejidad,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
330,JERARQUICOS SALUD,OS. JERÁRQUICOS DE BANCOS,,,28500/28500,28500.0,28500.0,False,Plan PMO sin convenio,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
96,LUIS PASTEUR,LUIS PASTEUR,,,22389/27091,22389.0,27091.0,False,,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
882,MEDICUS,MEDICUS,,,30000/30000,30000.0,30000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
894,MEDICUS PLAN MS1,MEDICUS PLAN MS1,20000,Consultar en nuestra web,27000/27000,27000.0,27000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
895,MEDICUS PLAN MS2,MEDICUS PLAN MS2,,,30000/30000,30000.0,30000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Agosto (actualizado al 20-08-2026)
